sku,hardware_ref,category,name_th,name_en,brand,price_thb,unit,stock_status,lead_time_days,shop_url,image_url,datasheet_url,spec_summary,compatible_with,recommended_for,notes,updated
,mecanum_wheel_152,wheel,,"Mecanum wheel Ø152 mm (set of 4, 2 left + 2 right)",generic,,set,,,,,,"Ø152 mm x 50 mm, mecanum, load 60 kg",,,,
,pu_wheel_100,wheel,,Rubber drive wheel Ø100 mm (for small robots),generic,,piece,,,,,,"Ø100 mm x 30 mm, standard, load 15 kg",,,,
,pu_wheel_160,wheel,,"PU drive wheel Ø160 mm (hub bore, keyed)",generic,,piece,,,,,,"Ø160 mm x 50 mm, standard, load 200 kg",,,,
,generic_bldc_12v_60w,motor,,"60 W BLDC hub motor (12 V, for small robots)",generic,,piece,,,,,,"0.25 Nm rated, 2000 rpm; 12 V, 30/60 W",,,,
,generic_bldc_24v_100w,motor,,100 W BLDC gear motor (24 V),generic,,piece,,,,,,"0.32 Nm rated, 3000 rpm; 24 V, 50/100 W",,,,
,generic_bldc_24v_200w,motor,,"200 W BLDC gear motor (24 V, service robot class)",generic,,piece,,,,,,"0.64 Nm rated, 3000 rpm; 24 V, 100/200 W",,,,
,generic_dc_gearmotor,motor,,12 V DC gear motor with encoder,generic,,piece,,,,,,"0.5 Nm rated, 200 rpm; 12 V, 10/30 W",,,,
,tesr_bldc_400w,motor,,400 W BLDC hub/gear motor (48 V),TESR,,piece,,,,,,"1.3 Nm rated, 3000 rpm; 48 V, 200/400 W",,,Placeholder spec for the recommendation engine; replace with the exact TESR Shop SKU.,
,generic_can_motor_driver,motor_driver,,"Dual BLDC driver, CANopen (24 V)",generic,,piece,,,,,,"24 V, 3/10 W",,,,
,generic_serial_motor_driver,motor_driver,,Serial (UART) motor driver board with encoder feedback,generic,,piece,,,,,,"12 V, 1/3 W",,,Placeholder for microcontroller-based drivers such as the IRON-X base board (ironx_driver.py).,
,tesr_md200,motor_driver,,TESR MD-200 dual BLDC driver (24 V),TESR,,piece,,,,,,"24 V, 3/10 W",,,Placeholder — 24 V sibling of the MD-400; same ros2_control interface (registry/drivers/tesr_md400).,
,tesr_md400,motor_driver,,TESR MD-400 dual BLDC driver,TESR,,piece,,,,,,"48 V, 5/20 W",,,Placeholder — ros2_control hardware interface defined in registry/drivers/tesr_md400.,
,tesr_md400_encoder,encoder,,Wheel encoders via MD-400 feedback,TESR,,piece,,,,,,,,,,
,rpi5,compute,,Raspberry Pi 5 (8 GB),Raspberry Pi,,piece,,,,,https://www.raspberrypi.com/products/raspberry-pi-5/,"arm64, 8 GB RAM, USB3 x2; 5 V, 8/20 W",,,,
,x86_pc,compute,,Industrial mini PC (x86-64),generic,,piece,,,,,,"amd64, 16 GB RAM, USB3 x4; 12 V, 25/65 W",,,Placeholder for any x86-64 mini/industrial PC; replace with the exact model when known.,
,ld19,lidar,,LDROBOT LD19 (STL-19P),LDROBOT,,piece,,,,,,"range 12 m; FOV 360°; 10 Hz; 5 V, 1/1.5 W",,,Small classroom-class LiDAR; used as a placeholder for IRON-X Gen II until the exact model is confirmed.,
,rplidar_s2,lidar,,Slamtec RPLIDAR S2,Slamtec,,piece,,,,,,"range 30 m; FOV 360°; 10 Hz; 5 V, 3/5 W",,,,
,slamtec_p3,lidar,,Slamtec P3 (2D LiDAR),Slamtec,,piece,,,,,,"range 40 m; FOV 360°; 10 Hz; 5 V, 5/5 W",,,Values from the TESR Robot Builder spec example; confirm against the Slamtec datasheet.,
,realsense_d435i,depth_camera,,Intel RealSense D435i,Intel,,piece,,,,,,"range 3 m; FOV 87°; 30 Hz; 5 V, 2.5/4 W",,,,
,realsense_d455,depth_camera,,Intel RealSense D455,Intel,,piece,,,,,,"range 6 m; FOV 87°; 30 Hz; 5 V, 3/5 W",,,,
,tesr_imu,imu,,"TESR IMU module (9-axis, UART)",TESR,,piece,,,,,,"100 Hz; 5 V, 0.2/0.3 W",,,"Placeholder for the IMU used on IRON-X (quaternion output, mount_rpy calibration in imu_tf.yaml).",
,lifepo4_24v_50ah,battery,,LiFePO4 24 V 50 Ah,generic,,piece,,,,,,"25.6 V 50 Ah, 50 A max",,,,
,lifepo4_48v_40ah,battery,,LiFePO4 48 V 40 Ah,generic,,piece,,,,,,"51.2 V 40 Ah, 60 A max",,,,
,liion_12v_20ah,battery,,Li-ion 12 V 20 Ah pack,generic,,piece,,,,,,"11.1 V 20 Ah, 20 A max",,,,
,liion_24v_30ah,battery,,Li-ion 24 V 30 Ah pack,generic,,piece,,,,,,"25.2 V 30 Ah, 40 A max",,,,
,liion_48v_20ah,battery,,Li-ion 48 V 20 Ah pack,generic,,piece,,,,,,"50.4 V 20 Ah, 40 A max",,,,
,dcdc_12_5,power_supply,,DC-DC 12 V → 5 V 5 A,generic,,piece,,,,,,"out 5 V 5 A; 12 V, 0.5/28 W",,,,
,dcdc_24_12,power_supply,,DC-DC 24 V → 12 V 10 A,generic,,piece,,,,,,"out 12 V 10 A; 24 V, 2/130 W",,,,
,dcdc_24_5,power_supply,,DC-DC 24 V → 5 V 8 A,generic,,piece,,,,,,"out 5 V 8 A; 24 V, 1/45 W",,,,
,dcdc_48_12,power_supply,,DC-DC 48 V → 12 V 10 A,generic,,piece,,,,,,"out 12 V 10 A; 48 V, 3/130 W",,,,
,dcdc_48_5,power_supply,,DC-DC 48 V → 5 V 10 A,generic,,piece,,,,,,"out 5 V 10 A; 48 V, 2/55 W",,,,
,generic_estop,estop,,"Emergency stop button (mushroom, 2 NC contacts)",generic,,piece,,,,,,,,,,
